,year_x,stateabbr_x,statedesc_x,locationname,datasource_x,category_x,measure_x,data_value_unit_x,data_value_type_x,data_value_x,low_confidence_limit_x,high_confidence_limit_x,totalpopulation_x,geolocation_x,short_question_text_x,data_value_y,low_confidence_limit_y,high_confidence_limit_y,short_question_text_y,y
0,2020,AL,Alabama,Abanda,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.8,5.5,6.1,192,"{'type': 'Point', 'coordinates': [-85.524638, 33.09136893]}",Cancer (except skin),6.1,5.5,6.7,Cancer (except skin),1.0
1,2020,AL,Alabama,Abbeville,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.8,5.6,6.0,2688,"{'type': 'Point', 'coordinates': [-85.25278085, 31.56640742]}",Cancer (except skin),6.1,5.5,6.7,Cancer (except skin),1.0
2,2020,AL,Alabama,Adamsville,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.9,5.7,6.1,4522,"{'type': 'Point', 'coordinates': [-87.007999, 33.62019948]}",Cancer (except skin),6.1,5.6,6.7,Cancer (except skin),1.0
3,2020,AL,Alabama,Addison,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.9,6.4,758,"{'type': 'Point', 'coordinates': [-87.17656313, 34.20163288]}",Cancer (except skin),6.6,5.9,7.2,Cancer (except skin),1.0
4,2020,AL,Alabama,Akron,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.4,5.1,5.6,356,"{'type': 'Point', 'coordinates': [-87.74285611, 32.87854106]}",Cancer (except skin),5.6,5.0,6.2,Cancer (except skin),1.0
5,2020,AL,Alabama,Alabaster,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,6.0,6.2,31367,"{'type': 'Point', 'coordinates': [-86.847219, 33.19676585]}",Cancer (except skin),6.5,5.9,7.2,Cancer (except skin),1.0
6,2020,AL,Alabama,Albertville,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,6.0,6.2,21282,"{'type': 'Point', 'coordinates': [-86.21214093, 34.26441274]}",Cancer (except skin),6.3,5.7,7.0,Cancer (except skin),1.0
7,2020,AL,Alabama,Alexander City,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.9,5.7,6.0,14972,"{'type': 'Point', 'coordinates': [-85.93972723, 32.93023222]}",Cancer (except skin),6.2,5.6,6.9,Cancer (except skin),1.0
8,2020,AL,Alabama,Alexandria,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.9,6.5,3917,"{'type': 'Point', 'coordinates': [-85.87920682, 33.76747698]}",Cancer (except skin),6.5,5.9,7.2,Cancer (except skin),1.0
9,2020,AL,Alabama,Aliceville,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.5,5.3,5.8,2486,"{'type': 'Point', 'coordinates': [-88.15202475, 33.12955557]}",Cancer (except skin),5.8,5.2,6.4,Cancer (except skin),1.0
10,2020,AL,Alabama,Allgood,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.9,5.6,6.1,622,"{'type': 'Point', 'coordinates': [-86.520708, 33.90371694]}",Cancer (except skin),6.2,5.6,6.8,Cancer (except skin),1.0
11,2020,AL,Alabama,Altoona,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.9,6.5,933,"{'type': 'Point', 'coordinates': [-86.31804496, 34.03102613]}",Cancer (except skin),6.5,5.8,7.2,Cancer (except skin),1.0
12,2020,AL,Alabama,Andalusia,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.9,5.8,6.1,9015,"{'type': 'Point', 'coordinates': [-86.47806878, 31.31012814]}",Cancer (except skin),6.3,5.7,6.9,Cancer (except skin),1.0
13,2020,AL,Alabama,Anderson,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.9,6.6,282,"{'type': 'Point', 'coordinates': [-87.27159463, 34.91475064]}",Cancer (except skin),6.5,5.8,7.3,Cancer (except skin),1.0
14,2020,AL,Alabama,Anniston,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.8,5.7,5.9,23093,"{'type': 'Point', 'coordinates': [-85.79933425, 33.68300103]}",Cancer (except skin),6.1,5.5,6.7,Cancer (except skin),1.0
15,2020,AL,Alabama,Arab,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.3,6.2,6.6,8050,"{'type': 'Point', 'coordinates': [-86.49915709, 34.3309107]}",Cancer (except skin),6.6,5.9,7.2,Cancer (except skin),1.0
16,2020,AL,Alabama,Ardmore,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.9,6.5,1194,"{'type': 'Point', 'coordinates': [-86.8373518, 34.98471674]}",Cancer (except skin),6.5,5.8,7.2,Cancer (except skin),1.0
17,2020,AL,Alabama,Argo,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,6.0,6.4,4071,"{'type': 'Point', 'coordinates': [-86.5050428, 33.69028376]}",Cancer (except skin),6.5,5.9,7.2,Cancer (except skin),1.0
18,2020,AL,Alabama,Ariton,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.9,5.6,6.2,764,"{'type': 'Point', 'coordinates': [-85.71279913, 31.5980084]}",Cancer (except skin),6.3,5.7,7.0,Cancer (except skin),1.0
19,2020,AL,Alabama,Arley,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.9,6.4,357,"{'type': 'Point', 'coordinates': [-87.2177595, 34.07545187]}",Cancer (except skin),6.5,5.9,7.2,Cancer (except skin),1.0
20,2020,AL,Alabama,Ashford,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,5.7,6.3,2150,"{'type': 'Point', 'coordinates': [-85.23591061, 31.18576297]}",Cancer (except skin),6.3,5.6,6.9,Cancer (except skin),1.0
21,2020,AL,Alabama,Ashland,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.9,5.7,6.2,2037,"{'type': 'Point', 'coordinates': [-85.83367527, 33.2703874]}",Cancer (except skin),6.3,5.6,6.9,Cancer (except skin),1.0
22,2020,AL,Alabama,Ashville,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,5.8,6.3,2212,"{'type': 'Point', 'coordinates': [-86.26978035, 33.83311158]}",Cancer (except skin),6.3,5.7,7.0,Cancer (except skin),1.0
23,2020,AL,Alabama,Athens,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,5.9,6.1,21889,"{'type': 'Point', 'coordinates': [-86.95033973, 34.78480907]}",Cancer (except skin),6.3,5.7,6.9,Cancer (except skin),1.0
24,2020,AL,Alabama,Atmore,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.6,5.4,5.7,10194,"{'type': 'Point', 'coordinates': [-87.46344033, 31.14028848]}",Cancer (except skin),5.8,5.2,6.4,Cancer (except skin),1.0
25,2020,AL,Alabama,Attalla,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,5.8,6.3,6050,"{'type': 'Point', 'coordinates': [-86.08409475, 34.02420561]}",Cancer (except skin),6.3,5.7,7.0,Cancer (except skin),1.0
26,2020,AL,Alabama,Auburn,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.0,5.9,6.1,53562,"{'type': 'Point', 'coordinates': [-85.48779024, 32.60953805]}",Cancer (except skin),6.3,5.7,6.9,Cancer (except skin),1.0
27,2020,AL,Alabama,Autaugaville,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.5,5.3,5.7,870,"{'type': 'Point', 'coordinates': [-86.65785548, 32.4320462]}",Cancer (except skin),5.8,5.2,6.4,Cancer (except skin),1.0
28,2020,AL,Alabama,Avon,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.2,5.9,6.5,539,"{'type': 'Point', 'coordinates': [-85.2802242, 31.17998989]}",Cancer (except skin),6.5,5.8,7.2,Cancer (except skin),1.0
29,2020,AL,Alabama,Axis,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,5.9,5.7,6.2,757,"{'type': 'Point', 'coordinates': [-88.0179079, 30.92962089]}",Cancer (except skin),6.4,5.8,7.0,Cancer (except skin),1.0
